S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
252,CHHATTISGARH,2022,1241,1194,1069,1100,1205,1133,1032,1012,880,1025,1156,1044,13091,State
253,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2022,9,6,16,14,12,15,13,23,14,13,17,23,175,UT
254,DELHI,2022,416,420,446,516,476,458,483,453,414,489,480,509,5560,UT
255,GOA,2022,260,251,275,242,324,239,238,182,234,251,232,284,3012,State
256,GUJARAT,2022,1356,1365,1358,1386,1530,1343,1065,1141,1160,1406,1259,1408,15777,State
257,HARYANA,2022,739,811,1020,950,953,804,886,857,862,900,867,1005,10654,State
258,HIMACHAL PRADESH,2022,163,160,195,219,207,231,186,217,247,235,200,224,2484,State
259,JAMMU AND KASHMIR,2022,334,445,532,544,706,598,620,525,523,608,480,443,6358,UT
260,JHARKHAND,2022,393,417,433,430,492,423,454,391,379,429,444,490,5175,State
261,KARNATAKA,2022,3225,3318,3506,3313,3635,3308,3006,3118,2962,3358,3372,3644,39765,State
262,KERALA,2022,3862,3350,3781,3626,3673,3668,3283,3318,3542,3628,3817,4044,43592,State
263,LAKSHADWEEP,2022,2,0,0,0,0,1,0,1,0,0,0,0,4,UT
264,MADHYA PRADESH,2022,4621,4369,4636,4559,5179,4282,3921,3951,3636,4308,4527,3976,51965,State
